"fixture_id","kind","c0","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13"
"F49","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F50","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","0000000000000000000000000000000000000000000000000000000000000000","1000000","1000000","0","0","AUTO","REJECT_SOURCE_HASH_MISMATCH","XAUUSD","5"
"F50","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F50","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
"F50","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F51","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","1111111111111111111111111111111111111111111111111111111111111111","REJECT_MARKET_HASH_MISMATCH","XAUUSD","5"
"F51","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F51","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
"F51","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F52","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","EURUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","REJECT_SYMBOL_MISMATCH","XAUUSD","5"
"F52","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F52","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
"F52","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F53","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","1","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","REJECT_TIMEFRAME_MISMATCH","XAUUSD","5"
"F53","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F53","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
"F53","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F54","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","REJECT_CLOCK_DOMAIN_MISMATCH","XAUUSD","5"
"F54","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F54","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
"F54","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","UTC_CONVERTED","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F55","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","REJECT_TIME_AUTHORITY_MISMATCH","XAUUSD","5"
"F55","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F55","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
"F55","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","OTHER_AUTH","AUTO",""
"F56","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","REJECT_INSTRUMENT_PARAMS_MISMATCH","XAUUSD","5"
"F56","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F56","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
"F56","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","99.0",""
"F57","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F57","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F57","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F57","BAR","300","10010","10060","10005","10050","10","","","","","","","",""
"F57","CAND","1","100","100000","100.1","99.9","2.0","9","E|2","S|2","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F57","CAND","1","100","100000","100.1","99.9","2.0","8","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F58","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F58","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F58","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F58","BAR","300","10010","10060","10005","10050","10","","","","","","","",""
"F58","CAND","1","100","100000","100.1","99.9","2.0","9","E|2","S|2","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F58","CAND","1","100","100000","100.1","99.9","2.0","8","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
